OBJECTID_1,SiteID,FieldWetla,FieldVeldA,FieldAlien,Latitude,Longitude,PairID,RecordingN,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandTyp,LandCoverC,ElevationC,FireClass,CLUSTER_ID,COLOR_ID
49,s2lam057_230807,Not available,Not available,Not available,-33.152900000000002,18.121400000000001,487,171,23,8,7,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,93,7
56,s2lam151_230713,Not available,Not available,Not available,-33.367899999999999,22.107900000000001,484,896,23,7,13,Wet season,Y,N,NA,Grassland,Medium: 500-1000 m,25+ years,49,8
76,s2lam091_230712,Not available,Not available,Not available,-33.975800000000000,20.838500000000000,474,715,23,7,12,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,6-to-12 years,40,4
41,s2lam016_230718,Not available,Not available,Not available,-34.067700000000002,22.948965999999999,491,579,23,7,18,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
95,s2lam107_231004,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.990746000000001,22.698810999999999,463,719,23,10,4,Dry season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,32,1
94,s2lam104_231125,Not near (100 m) any water,Old (> 17 yrs),None,-33.967888000000002,23.538435000000000,465,565,23,11,25,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
108,s2lam160_231005,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.340179999999997,21.878357999999999,457,855,23,10,5,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,49,8
52,s2lam162_230808,Not available,Not available,Not available,-33.677342000000003,21.551700000000000,486,979,23,8,8,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
11,s2lam045_230705,Not available,Not available,Not available,-34.738444999999999,19.787887000000001,506,707,23,7,5,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
85,s2lam040_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.947878000000003,23.136555999999999,469,717,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
