scientific_name,Guild
Alopochen aegyptiaca,Insectivore
Andropadus importunus,Insectivore
Anthobaphes violacea,Insectivore
Apalis thoracica,Insectivore
Apaloderma narina,Insectivore
Arthroleptella lightfooti,Frog
Arthroleptella subvoce,Frog
Arthroleptella villiersi,Frog
Batis capensis,Insectivore
Bostrychia hagedash,Waterbird
Bradypterus sylvaticus,Insectivore
Breviceps acutirostris,Frog
Breviceps fuscus,Frog
Breviceps montanus,Frog
Bullacris discolor,Insect
Bullacris obliqua,Insect
Bullacris unicolor,Insect
Cacosternum australis,Frog
Campethera notata,Insectivore
Caprimulgus pectoralis,Insectivore
Chaetops frenatus,Insectivore
Chrysococcyx cupreus,Insectivore
Cinnyris chalybeus,Nectarivore
Cisticola fulvicapilla,Insectivore
Cisticola subruficapilla,Insectivore
Cisticola tinniens,Insectivore
Coracina caesia,Insectivore
Corvus capensis,Insectivore
Cossypha caffra,Insectivore
Cryptillas victorini,Insectivore
Cuculus clamosus,Insectivore
Cuculus solitarius,Insectivore
Cyanomitra veroxii,Insectivore
Emberiza capensis,Granivore
Halcyon albiventris,Insectivore
Hedydipna collaris,Nectarivore
Hyperolius horstockii,Frog
Hyperolius marmoratus,Frog
Laniarius ferrugineus,Insectivore
Mirafra apiata,Insectivore
Motacilla capensis,Insectivore
Muscicapa adusta,Insectivore
Nectarinia famosa,Nectarivore
nocall,Insectivore
Oriolus larvatus,Insectivore
Phylloscopus ruficapilla,Insectivore
Physemacris variolosa,Insect
Ploceus capensis,Granivore
Pogonocichla stellata,Insectivore
Poyntonia paludicola,Frog
Prinia maculosa,Insectivore
Promerops cafer,Insectivore
Pternistis capensis,Insectivore
Pycnonotus capensis,Insectivore
Sclerophrys capensis,Frog
Semnodactylus wealii,Frog
Serinus canicollis,Granivore
Sphenoeacus afer,Insectivore
Stenostira scita,Insectivore
Streptopelia capicola,Insectivore
Strongylopus bonaespei,Frog
Strongylopus grayii,Frog
Tachybaptus ruficollis,Waterbird
Tauraco corythaix,Insectivore
Telophorus zeylonus,Insectivore
Tomopterna delalandii,Frog
Tricholaema leucomelas,Insectivore
Turdus olivaceus,Insectivore
Tyto alba,Nocturnal Predator
Urocolius indicus,Insectivore
Zosterops virens,Insectivore
