siteid,wm_richness,wm_richness_ge3,n_possible_detections,Bird,Frog,Insect,Anthropophony,Biophony,Geophony,Interference,Alop1,Andr2,Anth3,Apal4,Apal5,Arth6,Arth7,Arth8,Bati9,Bost10,Brad11,Brev12,Brev13,Brev14,Bull15,Bull16,Bull17,Caco18,Camp19,Capr20,Chae21,Chry22,Cinn23,Cist24,Cist25,Cist26,Cora27,Corv28,Coss29,Cryp30,Cucu31,Cucu32,Cyan33,Embe34,Halc35,Hedy36,Hype37,Hype38,Lani39,Mira40,Mota41,Musc42,Nect43,Orio44,Phyl45,Phys46,Ploc47,Pogo48,Poyn49,Prin50,Prom51,Pter52,Pycn53,Scle54,Semn55,Seri56,Sphe57,Sten58,Stre59,Stro60,Stro61,Tach62,Taur63,Telo64,Tomo65,Tric66,Turd67,Tyto68,Uroc69,Zost70,Bird_percent,Frog_percent,Insect_percent,Anthropophony_percent,Biophony_percent,Geophony_percent,Interference_percent
s2lam001_230713,18,8,50681,186,65,0,157,46093,5650,2933,1,0,83,0,0,9,0,7,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0,16,0,0,0,0,1,0,1,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,1,0,1,1,0,0,0,0,0,7,1,0,0,0,0,0.36700144038199717,0.12825319153134312,0,0.3097807856987826,90.94729780391073,11.148162033109054,5.787178627098913
s2lam001_230725,10,4,59413,57,71,0,2,29602,47158,5784,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,64,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.09593859929645027,0.11950246579031526,0,0.0033662666419807113,49.824112567956504,79.37320115126319,9.735243128608218
s2lam001_230802,10,6,42362,14,44,0,137,18525,27171,992,0,0,5,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.03304848685142345,0.10386667296161654,0,0.3234030499032151,43.73022992304424,64.14003116000188,2.3417213540437185
s2lam001_230809,12,8,40769,113,541,0,0,21309,17358,21713,0,0,0,0,0,396,0,12,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,12,67,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,78,1,0,0,0,0,0,2,0,4,0,0,0,0,0.2771713802153597,1.3269886433319433,0,0,52.26765434521327,42.5764674139665,53.258603350585
s2lam001_230815,25,19,67083,1546,723,1,1,62496,12033,7162,14,0,0,0,0,194,0,116,0,0,0,2,0,0,0,0,0,6,0,0,15,0,0,83,63,0,0,0,0,13,0,0,0,8,0,0,29,371,1,0,0,0,0,0,0,1,0,0,0,1285,5,0,14,0,0,23,2,21,13,0,0,0,0,2,5,6,0,0,0,1,2.3046077247588808,1.077769330530835,0.0014906906369721092,0.0014906906369721092,93.16220204820893,17.93748043468539,10.676326341994246
s2lam001_231001,22,17,59354,750,644,0,0,43611,11978,22565,24,0,1,0,0,148,0,453,0,0,0,1,0,0,0,0,0,16,0,0,8,0,0,20,10,0,0,0,0,20,0,0,0,7,0,0,4,16,0,173,0,0,1,0,0,0,0,0,0,296,0,0,0,0,0,0,351,6,3,0,0,0,0,2,6,1,0,0,0,0,1.2636048118071235,1.0850153317383833,0,0,73.47609259696061,20.180611247767633,38.017656771236986
s2lam001_231013,33,28,56758,1877,432,114,58,54929,16324,9522,6,4,0,177,0,15,0,220,15,0,0,3,3,0,0,0,114,0,0,0,15,2,0,10,0,0,19,0,19,29,0,23,0,0,0,0,74,113,1,0,0,0,0,0,0,0,3,0,0,111,4,0,33,0,0,1,0,167,1179,0,0,0,1,5,4,14,8,0,1,69,3.3070227985482226,0.7611261848549984,0.2008527432256246,0.10218823778145812,96.77754677754677,28.760703336974526,16.776489657845588
s2lam001_231025,29,25,50622,732,2754,13,4,43005,8951,16863,22,0,0,1,0,481,0,669,0,0,0,4,0,0,0,0,6,34,0,3,30,0,0,4,8,0,0,0,0,12,0,30,0,4,0,0,166,891,0,0,0,0,1,0,0,7,0,0,0,41,3,4,14,0,0,1,0,247,0,0,0,1,0,239,509,69,0,0,19,0,1.446011615503141,5.4403223894749315,0.025680534155110426,0.007901702816957054,84.95318241080952,17.68203547864565,33.311603650586704
s2lam001_231117,21,16,33335,3578,2890,155,0,29134,7569,8092,12,0,0,0,0,566,0,294,0,0,0,4,0,0,2,0,2,8,0,0,2,0,0,3335,0,0,0,0,0,3,0,95,0,0,0,0,203,1811,5,0,0,0,0,0,0,151,0,0,0,115,0,0,0,0,0,12,0,1,9,0,0,0,0,0,4,0,0,0,0,1,10.73346332683366,8.669566521673916,0.4649767511624419,0,87.39763011849408,22.70586470676466,24.274786260686966
s2lam002_230807,32,28,65136,2083,933,5,4,62883,3178,2082,47,0,0,12,0,511,0,74,0,0,0,8,0,2,0,0,5,15,0,45,101,0,0,26,39,0,3,0,2,103,0,0,0,26,0,0,34,258,0,47,2,0,0,0,0,0,0,0,0,1296,14,66,5,0,0,0,95,111,7,0,0,0,1,73,31,14,0,0,17,0,3.1979243429132893,1.4323876197494474,0.0076762466224514865,0.006140997297961188,96.54108327192336,4.879022353230165,3.196389093588799
