"recording","species","x1","x2","subtype","general","temporaldup","id","BAGI"
"s2lam116_231124_2023-11-24_22-40.WAV","Bufo bufo",3.770666667,5.621333333,"Amphibians","Biophony","N",2,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",16.81,17.89,"Amphibians","Biophony","N",840,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",39.43,40.53,"Amphibians","Biophony","N",850,"F"
"s2lam058_231110_2023-11-12_19-00.WAV","sp6",19.01,20.07,"Amphibians","Biophony","N",864,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",44.73,45.81,"Amphibians","Biophony","N",853,"F"
"s2lam116_231124_2023-11-25_23-30.WAV","Bufo bufo",27.95733333,29.808,"Amphibians","Biophony","N",814,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",19.27,20.33,"Amphibians","Biophony","N",842,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",47.33,48.39,"Amphibians","Biophony","N",855,"F"
"s2lam126_230812_2023-08-14_18-30.WAV","sp6",41.71,43.01,"Amphibians","Biophony","N",833,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",21.55,22.61,"Amphibians","Biophony","N",844,"F"
"s2lam150_231122_2023-11-22_20-00.WAV","sp6",3.21,8.25,"Amphibians","Biophony","N",821,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",56.95,57.99,"Amphibians","Biophony","N",861,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",14.37,15.45,"Amphibians","Biophony","N",838,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",40.71,41.79,"Amphibians","Biophony","N",851,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",15.63,16.67,"Amphibians","Biophony","N",839,"F"
"s2lam150_231122_2023-11-27_21-10.WAV","sp6",34.43,36.69,"Amphibians","Biophony","N",822,"F"
"s2lam047_230807_2023-08-12_06-40.WAV","sp6",39.61,41.53,"Amphibians","Biophony","N",831,"F"
"s2lam126_230812_2023-08-14_18-30.WAV","sp6",39.71,41.03,"Amphibians","Biophony","N",832,"F"
"s2lam158_231112_2023-11-16_19-30.WAV","sp6",4.17,6.17,"Amphibians","Biophony","N",66,"F"
"s2lam116_231124_2023-11-27_22-00.WAV","Bufo bufo",18.42133333,20.272,"Amphibians","Biophony","N",20,"F"
"s2lam116_231124_2023-11-26_23-10.WAV","Bufo bufo",21.62666667,23.47733333,"Amphibians","Biophony","N",815,"F"
"s2lam116_231124_2023-11-28_22-00.WAV","Bufo bufo",18.56,20.41066667,"Amphibians","Biophony","N",39,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",52.25,53.31,"Amphibians","Biophony","N",858,"F"
"s2lam116_231124_2023-11-27_22-40.WAV","Bufo bufo",15.10933333,16.96,"Amphibians","Biophony","N",22,"F"
"s2lam150_231122_2023-11-23_07-10.WAV","sp6",4.69,6.13,"Amphibians","Biophony","N",820,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",53.49,54.55,"Amphibians","Biophony","N",859,"F"
"s2lam107_231103_2023-11-07_13-20.WAV","sp6",0.27,1.35,"Amphibians","Biophony","N",867,"F"
"s2lam058_231110_2023-11-12_19-00.WAV","sp6",24.79,25.83,"Amphibians","Biophony","N",865,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",43.57,44.63,"Amphibians","Biophony","N",852,"F"
"s2lam150_231122_2023-11-22_22-30.WAV","sp6",24.41,25.95,"Amphibians","Biophony","N",824,"F"
"s2lam150_231122_2023-11-22_20-40.WAV","sp6",0.01,59.99,"Amphibians","Biophony","N",825,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",49.77,50.81,"Amphibians","Biophony","N",857,"F"
"s2lam058_231110_2023-11-12_19-00.WAV","sp6",31.39,32.45,"Amphibians","Biophony","N",866,"F"
"s2lam143_231106_2023-11-09_18-30.WAV","sp6",50.75,52.55,"Amphibians","Biophony","N",67,"F"
"s2lam150_231122_2023-11-27_21-10.WAV","sp6",50.63,52.27,"Amphibians","Biophony","N",823,"F"
"s2lam150_231122_2023-11-27_21-20.WAV","sp6",0.01,59.99,"Amphibians","Biophony","N",61,"F"
"s2lam143_231013_2023-10-18_18-30.WAV","sp6",32.29,34.43,"Amphibians","Biophony","N",863,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",29.03,30.05,"Amphibians","Biophony","N",849,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",13.11,14.17,"Amphibians","Biophony","N",837,"F"
"s2lam143_231013_2023-10-18_18-30.WAV","sp6",11.17,12.23,"Amphibians","Biophony","N",862,"F"
"s2lam116_231124_2023-11-24_21-40.WAV","Bufo bufo",41.95733333,43.808,"Amphibians","Biophony","N",817,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",2.05,3.09,"Amphibians","Biophony","N",834,"F"
"s2lam116_231124_2023-11-28_00-40.WAV","Bufo bufo",8.213333333,10.064,"Amphibians","Biophony","N",41,"F"
"s2lam150_231122_2023-11-26_20-30.WAV","sp6",0.01,59.99,"Amphibians","Biophony","N",59,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",54.67,55.71,"Amphibians","Biophony","N",860,"F"
"s2lam107_231103_2023-11-07_13-20.WAV","sp6",1.49,2.57,"Amphibians","Biophony","N",868,"F"
"s2lam143_231013_2023-10-17_18-30.WAV","sp6",27.89,28.93,"Amphibians","Biophony","N",848,"F"
"s2lam154_231123_2023-11-25_06-00.WAV","Ramphastos toco",24.93866667,27.35466667,"Birds","Biophony","N",2588,"R"
"s2lam079_230829_2023-09-04_11-30.WAV","sp4",4.67,6.05,"Birds","Biophony","N",3284,"R"
"s2lam016_230829_2023-09-03_07-00.WAV","sp4",36.03,37.19,"Birds","Biophony","N",3306,"R"
"s2lam154_231123_2023-11-25_12-10.WAV","Ramphastos toco",24.83733333,26.38933333,"Birds","Biophony","N",2746,"R"
"s2lam154_231123_2023-11-23_11-30.WAV","Ramphastos toco",29.232,30.912,"Birds","Biophony","N",22,"R"
"s2lam154_231123_2023-11-23_21-10.WAV","Ramphastos toco",3.536,5.216,"Birds","Biophony","Y",2353,"R"
"s2lam154_231123_2023-11-28_06-10.WAV","Ramphastos toco",57.49866667,59.05066667,"Birds","Biophony","N",3047,"R"
"s2lam135_231107_2023-11-12_13-20.WAV","sp4",29.05,32.11,"Birds","Biophony","N",3451,"R"
"s2lam154_231123_2023-11-23_11-20.WAV","Ramphastos toco",45.21066667,46.80533333,"Birds","Biophony","Y",3195,"R"
"s2lam154_231123_2023-11-25_06-20.WAV","Ramphastos toco",24.50666667,26.05866667,"Birds","Biophony","N",2482,"R"
"s2lam154_231123_2023-11-25_17-20.WAV","Ramphastos toco",20.21333333,21.89333333,"Birds","Biophony","Y",2669,"R"
"s2lam079_230829_2023-09-04_10-40.WAV","sp4",1.29,2.67,"Birds","Biophony","N",3253,"R"
"s2lam154_231123_2023-11-28_06-20.WAV","Ramphastos toco",54.11733333,55.66933333,"Birds","Biophony","N",434,"R"
"s2lam154_231123_2023-11-23_08-30.WAV","Ramphastos toco",21.488,23.904,"Birds","Biophony","Y",3217,"R"
"s2lam154_231123_2023-11-25_18-40.WAV","Ramphastos toco",8.613333333,11.15733333,"Birds","Biophony","Y",2688,"R"
"s2lam154_231123_2023-11-27_16-40.WAV","Ramphastos toco",16.784,18.464,"Birds","Biophony","Y",3008,"R"
"s2lam154_231123_2023-11-25_10-10.WAV","Ramphastos toco",11.104,12.69866667,"Birds","Biophony","Y",2632,"R"
"s2lam079_231130_2023-12-05_06-10.WAV","sp4",21.57,24.37,"Birds","Biophony","N",3439,"R"
"s2lam154_231123_2023-11-26_12-30.WAV","Ramphastos toco",1.301333333,2.981333333,"Birds","Biophony","Y",2791,"R"
"s2lam079_230804_2023-08-07_10-00.WAV","sp4",50.79,52.25,"Birds","Biophony","N",3327,"R"
"s2lam154_231123_2023-11-26_16-20.WAV","Ramphastos toco",8.229333333,9.824,"Birds","Biophony","N",2789,"R"
"s2lam154_231123_2023-11-24_14-20.WAV","Ramphastos toco",22.97066667,24.52266667,"Birds","Biophony","N",2406,"R"
"s2lam154_231123_2023-11-25_17-00.WAV","Ramphastos toco",31.64266667,33.32266667,"Birds","Biophony","Y",2586,"R"
"s2lam154_231123_2023-11-23_08-40.WAV","Ramphastos toco",15.85066667,17.53066667,"Birds","Biophony","N",20,"R"
"s2lam154_231123_2023-11-27_10-20.WAV","Ramphastos toco",30.96533333,32.56,"Birds","Biophony","Y",2932,"R"
"s2lam079_231117_2023-11-21_18-40.WAV","sp4",35.01,36.29,"Birds","Biophony","N",3344,"R"
"s2lam154_231123_2023-11-28_07-40.WAV","Ramphastos toco",54.112,55.70666667,"Birds","Biophony","Y",3057,"R"
"s2lam154_231123_2023-11-24_12-20.WAV","Ramphastos toco",25.32266667,27.00266667,"Birds","Biophony","N",2453,"R"
"s2lam154_231123_2023-11-23_12-40.WAV","Ramphastos toco",30.48533333,32.16533333,"Birds","Biophony","Y",3182,"R"
"s2lam154_231123_2023-11-27_12-50.WAV","Ramphastos toco",50.01066667,51.60533333,"Birds","Biophony","Y",2968,"R"
"s2lam154_231123_2023-11-27_08-30.WAV","Ramphastos toco",43.984,45.57866667,"Birds","Biophony","N",2911,"R"
"s2lam150_231122_2023-11-23_04-40.WAV","Ramphastos toco",24.48533333,26.03733333,"Birds","Biophony","N",200,"R"
"s2lam154_231123_2023-11-26_06-40.WAV","Ramphastos toco",32.72533333,34.40533333,"Birds","Biophony","Y",2804,"R"
"s2lam154_231123_2023-11-25_16-20.WAV","Ramphastos toco",19.69066667,22.23466667,"Birds","Biophony","Y",2658,"R"
"s2lam154_231123_2023-11-23_11-50.WAV","Ramphastos toco",48.72,50.4,"Birds","Biophony","Y",3191,"R"
"s2lam154_231123_2023-11-25_09-50.WAV","Ramphastos toco",11.616,14.16,"Birds","Biophony","N",2496,"R"
"s2lam154_231123_2023-11-27_13-20.WAV","Ramphastos toco",54.208,55.888,"Birds","Biophony","N",2969,"R"
"s2lam150_231122_2023-11-27_08-50.WAV","Ramphastos toco",49.62666667,51.17866667,"Birds","Biophony","N",359,"R"
"s2lam154_231123_2023-11-28_09-40.WAV","Ramphastos toco",40.192,41.78666667,"Birds","Biophony","N",3078,"R"
"s2lam154_231123_2023-11-25_07-00.WAV","Ramphastos toco",32.06933333,34.48533333,"Birds","Biophony","Y",2515,"R"
"s2lam154_231123_2023-11-25_15-20.WAV","Ramphastos toco",12.02133333,13.616,"Birds","Biophony","N",2661,"R"
"s2lam154_231123_2023-11-25_06-30.WAV","Ramphastos toco",41.94666667,43.54133333,"Birds","Biophony","Y",2578,"R"
"s2lam154_231123_2023-11-26_06-10.WAV","Ramphastos toco",32.28266667,34.69866667,"Birds","Biophony","Y",2853,"R"
"s2lam154_231123_2023-11-25_09-20.WAV","Ramphastos toco",7.466666667,9.061333333,"Birds","Biophony","N",2638,"R"
"s2lam154_231123_2023-11-24_18-20.WAV","Ramphastos toco",25.792,27.38666667,"Birds","Biophony","Y",2473,"R"
"s2lam074_230829_2023-09-04_07-00.WAV","sp4",28.99,31.59,"Birds","Biophony","N",3277,"R"
"s2lam154_231123_2023-11-27_15-30.WAV","Ramphastos toco",1.562666667,3.978666667,"Birds","Biophony","Y",2995,"R"
"s2lam154_231123_2023-11-28_09-00.WAV","Ramphastos toco",33.53066667,35.21066667,"Birds","Biophony","N",3068,"R"
"s2lam154_231123_2023-11-27_10-10.WAV","Ramphastos toco",36.672,38.352,"Birds","Biophony","Y",2924,"R"
"s2lam154_231123_2023-11-26_04-10.WAV","Ramphastos toco",34.09066667,35.77066667,"Birds","Biophony","N",2664,"R"
"s2lam079_231117_2023-11-21_18-30.WAV","sp4",4.77,6.21,"Birds","Biophony","N",3334,"R"
"s2lam154_231123_2023-11-24_08-40.WAV","Ramphastos toco",45.36,46.912,"Birds","Biophony","N",2391,"R"
"s2lam154_231123_2023-11-23_09-40.WAV","Ramphastos toco",34.55466667,36.23466667,"Birds","Biophony","Y",3208,"R"
"s2lam079_231130_2023-12-06_06-20.WAV","sp4",21.35,24.21,"Birds","Biophony","N",3392,"R"
"s2lam154_231123_2023-11-28_09-50.WAV","Ramphastos toco",23.59466667,25.18933333,"Birds","Biophony","N",3084,"R"
"s2lam150_231122_2023-11-22_18-40.WAV","Ramphastos toco",53.232,54.784,"Birds","Biophony","N",196,"R"
