Alopochen aegyptiaca
Andropadus importunus
Anthobaphes violacea
Apalis thoracica
Apaloderma narina
Arthroleptella lightfooti
Arthroleptella subvoce
Arthroleptella villiersi
Batis capensis
Bostrychia hagedash
Bradypterus sylvaticus
Breviceps acutirostris
Breviceps fuscus
Breviceps montanus
Bullacris discolor
Bullacris obliqua
Bullacris unicolor
Cacosternum australis
Campethera notata
Caprimulgus pectoralis
Chaetops frenatus
Chrysococcyx cupreus
Cinnyris chalybeus
Cisticola fulvicapilla
Cisticola subruficapilla
Cisticola tinniens
Coracina caesia
Corvus capensis
Cossypha caffra
Cryptillas victorini
Cuculus clamosus
Cuculus solitarius
Cyanomitra veroxii
Emberiza capensis
Halcyon albiventris
Hedydipna collaris
Hyperolius horstockii
Hyperolius marmoratus
Laniarius ferrugineus
Mirafra apiata
Motacilla capensis
Muscicapa adusta
Nectarinia famosa
Oriolus larvatus
Phylloscopus ruficapilla
Physemacris variolosa
Ploceus capensis
Pogonocichla stellata
Poyntonia paludicola
Prinia maculosa
Promerops cafer
Pternistis capensis
Pycnonotus capensis
Sclerophrys capensis
Semnodactylus wealii
Serinus canicollis
Sphenoeacus afer
Stenostira scita
Streptopelia capicola
Strongylopus bonaespei
Strongylopus grayii
Tachybaptus ruficollis
Tauraco corythaix
Telophorus zeylonus
Tomopterna delalandii
Tricholaema leucomelas
Turdus olivaceus
Tyto alba
Urocolius indicus
Zosterops virens
