Alop1,Alopochen aegyptiaca
Andr2,Andropadus importunus
Anth3,Anthobaphes violacea
Apal4,Apalis thoracica
Apal5,Apaloderma narina
Arth6,Arthroleptella lightfooti
Arth7,Arthroleptella subvoce
Arth8,Arthroleptella villiersi
Bati9,Batis capensis
Bost10,Bostrychia hagedash
Brad11,Bradypterus sylvaticus
Brev12,Breviceps acutirostris
Brev13,Breviceps fuscus
Brev14,Breviceps montanus
Bull15,Bullacris discolor
Bull16,Bullacris obliqua
Bull17,Bullacris unicolor
Caco18,Cacosternum australis
Camp19,Campethera notata
Capr20,Caprimulgus pectoralis
Chae21,Chaetops frenatus
Chry22,Chrysococcyx cupreus
Cinn23,Cinnyris chalybeus
Cist24,Cisticola fulvicapilla
Cist25,Cisticola subruficapilla
Cist26,Cisticola tinniens
Cora27,Coracina caesia
Corv28,Corvus capensis
Coss29,Cossypha caffra
Cryp30,Cryptillas victorini
Cucu31,Cuculus clamosus
Cucu32,Cuculus solitarius
Cyan33,Cyanomitra veroxii
Embe34,Emberiza capensis
Halc35,Halcyon albiventris
Hedy36,Hedydipna collaris
Hype37,Hyperolius horstockii
Hype38,Hyperolius marmoratus
Lani39,Laniarius ferrugineus
Mira40,Mirafra apiata
Mota41,Motacilla capensis
Musc42,Muscicapa adusta
Nect43,Nectarinia famosa
Orio44,Oriolus larvatus
Phyl45,Phylloscopus ruficapilla
Phys46,Physemacris variolosa
Ploc47,Ploceus capensis
Pogo48,Pogonocichla stellata
Poyn49,Poyntonia paludicola
Prin50,Prinia maculosa
Prom51,Promerops cafer
Pter52,Pternistis capensis
Pycn53,Pycnonotus capensis
Scle54,Sclerophrys capensis
Semn55,Semnodactylus wealii
Seri56,Serinus canicollis
Sphe57,Sphenoeacus afer
Sten58,Stenostira scita
Stre59,Streptopelia capicola
Stro60,Strongylopus bonaespei
Stro61,Strongylopus grayii
Tach62,Tachybaptus ruficollis
Taur63,Tauraco corythaix
Telo64,Telophorus zeylonus
Tomo65,Tomopterna delalandii
Tric66,Tricholaema leucomelas
Turd67,Turdus olivaceus
Tyto68,Tyto alba
Uroc69,Urocolius indicus
Zost70,Zosterops virens
